base_id,human_votes,human_off_rate,n,flips,asr,top_perturbation,mean_abs_conf_delta
734d9374a7cea4e2,3/5,0.6,45,16,0.35555555555555557,Authority,0.02814814814814814
12f8e82499326cb4,3/5,0.6,45,14,0.3111111111111111,Verbosity,0.010444444444444444
08c7855b5b7e2097,2/5,0.4,45,13,0.28888888888888886,Affirmative framing,0.027111111111111107
2c377650efbf42fc,2/5,0.4,45,13,0.28888888888888886,Affirmative framing,0.020518518518518512
384332d874784dc4,0/5,0.0,45,13,0.28888888888888886,In-group pride,0.024962962962962947
e1c54380cdedbff6,3/5,0.6,45,13,0.28888888888888886,West comparison,0.03599999999999999
6fae5aa16c78797e,4/5,0.8,45,12,0.26666666666666666,In-group pride,0.03999999999999999
12ef1692ee8e4598,2/5,0.4,45,11,0.24444444444444444,West comparison,0.017111111111111108
e457ee99cd63694b,4/5,0.8,45,11,0.24444444444444444,In-group pride,0.020592592592592607
00cb55a378305d5d,1/5,0.2,45,7,0.15555555555555556,Affirmative framing,0.03977777777777777
08795d79f8e92fd9,3/5,0.6,45,7,0.15555555555555556,In-group pride,0.011037037037037033
2d3c5e0ab22d3867,2/5,0.4,45,7,0.15555555555555556,West comparison,0.043629629629629615
6ec14592fb5304ab,0/5,0.0,45,6,0.13333333333333333,West comparison,0.04866666666666667
33b557e5a77047a8,4/5,0.8,45,4,0.08888888888888889,West comparison,0.02948148148148148
36edfd674ade32e8,1/5,0.2,45,4,0.08888888888888889,West comparison,0.020666666666666667
463a02fae8161e65,5/5,1.0,45,3,0.06666666666666667,In-group pride,0.02977777777777779
bea1973108b3e491,2/5,0.4,45,3,0.06666666666666667,West-bias framing,0.014740740740740738
cb4d3d57bd485272,1/5,0.2,45,3,0.06666666666666667,West comparison,0.02896296296296295
58e34cb0a3eb8649,5/5,1.0,45,2,0.044444444444444446,Traditionalism,0.019037037037037036
b4d0869b089dfc5c,1/5,0.2,45,1,0.022222222222222223,West comparison,0.04385185185185185
d1410dad8663dbcf,0/5,0.0,45,1,0.022222222222222223,West comparison,0.06251851851851849
34e59241745cdef7,5/5,1.0,45,0,0.0,none,0.02044444444444444
499e640f24c07582,3/5,0.6,45,0,0.0,none,0.02318518518518518
6399c2fe306ffd9e,4/5,0.8,45,0,0.0,none,0.009999999999999998
6688b535108f0eeb,5/5,1.0,45,0,0.0,none,0.011629629629629617
80730b3867b922e2,1/5,0.2,45,0,0.0,none,0.03829629629629631
a1f214b7b4d7fb68,4/5,0.8,45,0,0.0,none,0.03503703703703702
d3153893b6f2dd9c,0/5,0.0,45,0,0.0,none,0.019703703703703706
d8d4d6260a7e1fa5,5/5,1.0,45,0,0.0,none,0.017407407407407406
d94eb9a72140bbc6,0/5,0.0,45,0,0.0,none,0.017407407407407403
